Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,Sector1Time_seconds,Sector2Time_seconds,Sector3Time_seconds,LapStartTime_seconds,PitInTime_seconds,PitOutTime_seconds,Sector1SessionTime_seconds,Sector2SessionTime_seconds,Sector3SessionTime_seconds
0 days 01:17:47.050000,VER,1,0 days 00:01:29.633000,13.0,1.0,,,0 days 00:00:18.044000,0 days 00:00:38.531000,0 days 00:00:33.058000,0 days 01:16:35.536000,0 days 01:17:14.067000,0 days 01:17:47.125000,285.0,295.0,210.0,307.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:16:17.417000,2025-12-07 13:21:24.480,1,1.0,False,,False,True,89.633,18.044,38.531,33.058,4577.417,,,4595.536,4634.067,4667.125
0 days 01:19:16.576000,VER,1,0 days 00:01:29.526000,14.0,1.0,,,0 days 00:00:17.984000,0 days 00:00:38.599000,0 days 00:00:32.943000,0 days 01:18:05.109000,0 days 01:18:43.708000,0 days 01:19:16.651000,286.0,297.0,211.0,305.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:17:47.050000,2025-12-07 13:22:54.113,1,1.0,False,,False,True,89.526,17.984,38.599,32.943,4667.05,,,4685.109,4723.708,4756.651
0 days 01:20:46.279000,VER,1,0 days 00:01:29.703000,15.0,1.0,,,0 days 00:00:17.993000,0 days 00:00:38.622000,0 days 00:00:33.088000,0 days 01:19:34.644000,0 days 01:20:13.266000,0 days 01:20:46.354000,285.0,295.0,211.0,302.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:19:16.576000,2025-12-07 13:24:23.639,1,1.0,False,,False,True,89.703,17.993,38.622,33.088,4756.576,,,4774.644,4813.266,4846.354
0 days 01:22:15.739000,VER,1,0 days 00:01:29.460000,16.0,1.0,,,0 days 00:00:18.045000,0 days 00:00:38.597000,0 days 00:00:32.818000,0 days 01:21:04.399000,0 days 01:21:42.996000,0 days 01:22:15.814000,,296.0,210.0,303.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:20:46.279000,2025-12-07 13:25:53.342,1,1.0,False,,False,True,89.46,18.045,38.597,32.818,4846.279,,,4864.399,4902.996,4935.814
0 days 01:23:45.317000,VER,1,0 days 00:01:29.578000,17.0,1.0,,,0 days 00:00:18.012000,0 days 00:00:38.682000,0 days 00:00:32.884000,0 days 01:22:33.826000,0 days 01:23:12.508000,0 days 01:23:45.392000,286.0,296.0,210.0,298.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:22:15.739000,2025-12-07 13:27:22.802,1,1.0,False,,False,True,89.578,18.012,38.682,32.884,4935.739,,,4953.826,4992.508,5025.392
0 days 01:25:14.913000,VER,1,0 days 00:01:29.596000,18.0,1.0,,,0 days 00:00:18.064000,0 days 00:00:38.646000,0 days 00:00:32.886000,0 days 01:24:03.456000,0 days 01:24:42.102000,0 days 01:25:14.988000,284.0,296.0,211.0,304.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:23:45.317000,2025-12-07 13:28:52.380,1,1.0,False,,False,True,89.596,18.064,38.646,32.886,5025.317,,,5043.456,5082.102,5114.988
0 days 01:26:44.527000,VER,1,0 days 00:01:29.614000,19.0,1.0,,,0 days 00:00:17.981000,0 days 00:00:38.709000,0 days 00:00:32.924000,0 days 01:25:32.969000,0 days 01:26:11.678000,0 days 01:26:44.602000,285.0,295.0,211.0,303.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:25:14.913000,2025-12-07 13:30:21.976,1,1.0,False,,False,True,89.614,17.981,38.709,32.924,5114.913,,,5132.969,5171.678,5204.602
0 days 01:28:14.084000,VER,1,0 days 00:01:29.557000,20.0,1.0,,,0 days 00:00:18.010000,0 days 00:00:38.667000,0 days 00:00:32.880000,0 days 01:27:02.612000,0 days 01:27:41.279000,0 days 01:28:14.159000,284.0,296.0,211.0,302.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:26:44.527000,2025-12-07 13:31:51.590,1,1.0,False,,False,True,89.557,18.01,38.667,32.88,5204.527,,,5222.612,5261.279,5294.159
0 days 01:29:43.525000,VER,1,0 days 00:01:29.441000,21.0,1.0,,,0 days 00:00:17.873000,0 days 00:00:38.788000,0 days 00:00:32.780000,0 days 01:28:32.032000,0 days 01:29:10.820000,0 days 01:29:43.600000,,296.0,210.0,302.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:28:14.084000,2025-12-07 13:33:21.147,1,1.0,False,,False,True,89.441,17.873,38.788,32.78,5294.084,,,5312.032,5350.82,5383.6
0 days 01:31:12.768000,VER,1,0 days 00:01:29.243000,22.0,1.0,,,0 days 00:00:17.869000,0 days 00:00:38.589000,0 days 00:00:32.785000,0 days 01:30:01.469000,0 days 01:30:40.058000,0 days 01:31:12.843000,286.0,298.0,211.0,299.0,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:29:43.525000,2025-12-07 13:34:50.588,1,1.0,False,,False,True,89.243,17.869,38.589,32.785,5383.525,,,5401.469,5440.058,5472.843
